path,filename,extension,mime_type,size,created_date,modified_date,checksum,language,category,tags,summary,caption,quality_score,objects
/home/user/Desktop/IntelliTest/1000_F_1642568222_KP7JwhTS3pQaWPfgcx7bNKeCEiGZICSz.jpg,1000_F_1642568222_KP7JwhTS3pQaWPfgcx7bNKeCEiGZICSz.jpg,.jpg,image/jpeg,199730,2026-08-26 15:05:24,2026-08-25 17:05:42,75ec4ea9f6754fda17b66582050d43f9421bd29e9adcd5ce220059ec2eb918a3,,,,,,,
/home/user/Desktop/IntelliTest/360_F_366734843_Sk4T9vNudCnGt7tThBFl9zlBub9oGrSY.jpg,360_F_366734843_Sk4T9vNudCnGt7tThBFl9zlBub9oGrSY.jpg,.jpg,image/jpeg,75113,2026-08-26 15:05:24,2026-08-25 17:04:14,1d36984d722510e54938acfc355c8425f58231316537292a4cd6d4f019dba7ce,,,,,,,
/home/user/Desktop/IntelliTest/3m-high-intensity-prismatic-road-sign-india-1-768x739 (1).webp,3m-high-intensity-prismatic-road-sign-india-1-768x739 (1).webp,.webp,image/webp,78774,2026-08-26 15:05:24,2026-08-25 17:05:24,8003b062c74747ff828469b86f2aec120ac9469d645bc33c2fcc73233af85a32,,,,,,,
/home/user/Desktop/IntelliTest/BlurryDavid.jpg,BlurryDavid.jpg,.jpg,image/jpeg,21843,2026-08-26 15:05:24,2026-08-25 17:07:56,0f55caf6791426cea0a9c04128dc2ea1cd2f2af7adc4205fdb4fb5c91f34305a,,,,,,,
/home/user/Desktop/IntelliTest/Mojo Lang… a fast futuristic Python alternative.mp4,Mojo Lang… a fast futuristic Python alternative.mp4,.mp4,video/mp4,5821157,2026-08-26 15:05:24,2026-08-25 17:15:41,d8365afaa5404ceb03c8cc62902c82785c07af3d054c4adf5a1e3ee7703e3a74,,,,,,,
/home/user/Desktop/IntelliTest/The most controversial rewrite in history just shipped... - Fireship.mp3,The most controversial rewrite in history just shipped... - Fireship.mp3,.mp3,audio/mpeg,5631109,2026-08-26 15:05:24,2026-08-25 17:18:04,579218c3f78b61a70c25395df0695b126a66781467f6cfcb71a4de8109bb7d86,,,,,,,
/home/user/Desktop/IntelliTest/another_file.pdf,another_file.pdf,.pdf,application/pdf,11237,2026-08-26 15:05:24,2026-08-25 16:35:43,52aaa3713f1aa431660eff1d056397935b727695f6245b6e705b96179b9e4f8a,,,,,,,
/home/user/Desktop/IntelliTest/bookPage1.png,bookPage1.png,.png,image/png,61530,2026-08-26 15:05:24,2026-08-25 16:54:37,c25d505595bb6897964bcfa9b3d21d0362a686561f7f40e3e1084913194bd722,,,,,,,
/home/user/Desktop/IntelliTest/depositphotos_142688463-stock-photo-group-of-various-objects.jpg,depositphotos_142688463-stock-photo-group-of-various-objects.jpg,.jpg,image/jpeg,225217,2026-08-26 15:05:24,2026-08-25 17:01:20,014590d584a419faf0b8f33f0a02a2cf426479cd179ab744ee7fb5f404668164,,,,,,,
/home/user/Desktop/IntelliTest/dijkstra.png,dijkstra.png,.png,image/png,403530,2026-08-26 15:05:24,2026-08-25 16:55:05,ebed6dc7f708ba2778c7cc05802285f751900aadd46b71cbbccee5bb5f7d232f,,,,,,,
/home/user/Desktop/IntelliTest/eeeeeezx xz.webp,eeeeeezx xz.webp,.webp,image/webp,78774,2026-08-26 15:05:24,2026-08-25 17:05:22,8003b062c74747ff828469b86f2aec120ac9469d645bc33c2fcc73233af85a32,,,,,,,
/home/user/Desktop/IntelliTest/getting_started_in_electronics_01_circuit_diagram.jpg,getting_started_in_electronics_01_circuit_diagram.jpg,.jpg,image/jpeg,390873,2026-08-26 15:05:24,2026-08-25 16:55:50,157a98148fd76aaadcddb80e292e61c5e124b99ea51f6d56d84524f0baf5bd30,,,,,,,
/home/user/Desktop/IntelliTest/i dont know about it.webp,i dont know about it.webp,.webp,image/webp,405846,2026-08-26 15:05:24,2026-08-25 16:57:22,6935d37c9050f2f82fd5ae13c2630605113cea37a9291b76a9ac2d4b00c70fb4,,,,,,,
/home/user/Desktop/IntelliTest/ijklhjkv njmjb.webp,ijklhjkv njmjb.webp,.webp,image/webp,39770,2026-08-26 15:05:24,2026-08-25 17:06:19,ff7bcc54b225bc741ff0bcf3a30138621dea8517acd38685fa02dc6f611c30c1,,,,,,,
/home/user/Desktop/IntelliTest/images (1).jpeg,images (1).jpeg,.jpeg,image/jpeg,12133,2026-08-26 15:05:24,2026-08-25 17:08:05,c44ec4b2021c18430464abb5348946d692b0a46765d25d8b3cb022c1cf0756a0,,,,,,,
/home/user/Desktop/IntelliTest/images.jpeg,images.jpeg,.jpeg,image/jpeg,15216,2026-08-26 15:05:24,2026-08-25 17:01:27,ec4c79b6525c442a3097c052cb42aa33e839b28543d0d79eb1d5d7a220dc84ce,,,,,,,
/home/user/Desktop/IntelliTest/intellivault_metadata.json,intellivault_metadata.json,.json,application/json,19162,2026-08-27 08:48:27,2026-08-27 08:48:27,4ae77452b51de8fb03075f8460df9f97f1fc654051e61b2e5b89937b79ae9ecc,,,,,,,
/home/user/Desktop/IntelliTest/invoice_february.pdf,invoice_february.pdf,.pdf,application/pdf,6951,2026-08-26 15:05:24,2026-08-25 16:45:42,a79c185efb0d2ed7900bde663f56eaebad1a4dbf545de8807e14de8b6ffbbc2d,English,financial,"[""invoice"", ""cloud provisioning"", ""engineering integrations"", ""technical milestones"", ""data warehouse migration"", ""cybersecurity architecture"", ""legacy monolith refactoring"", ""predictive data pipeline orchestration"", ""API gateway integration framework"", ""DevOps CI/CD automated pipelines"", ""UI/UX design optimization"", ""distributed ledger audit layer"", ""full-text search engine indexing"", ""mobile client push infrastructure"", ""data compliance guardrails setup"", ""high-availability load balancing"", ""business intelligence reporting kit"", ""chaos engineering system stressing"", ""technical training workshop series""]","This commercial invoice details the technical milestones, cloud provisioning, and engineering integrations executed during February 2024. It includes items such as cloud infrastructure deployment, data warehouse migration, cybersecurity architecture, legacy monolith refactoring, predictive data pipeline orchestration, API gateway integration framework, DevOps CI/CD automated pipelines, UI/UX design optimization, distributed ledger audit layer, full-text search engine indexing, mobile client push",,,[]
/home/user/Desktop/IntelliTest/invoice_january.pdf,invoice_january.pdf,.pdf,application/pdf,7242,2026-08-26 15:05:24,2026-08-25 16:43:50,09e90ce3e1bc0cabf15ec0c7a1539bfa424013d97b91f95e10ac799eedea4e89,,,,,,,
/home/user/Desktop/IntelliTest/notes.txt,notes.txt,.txt,text/plain,9983,2026-08-26 15:05:24,2026-08-25 16:50:04,1858fcb669a9767341cabd360edadd2742e93161b5bc2e6afdf87ec49cfbab3e,,,,,,,
/home/user/Desktop/IntelliTest/outdoor photo.webp,outdoor photo.webp,.webp,image/webp,253320,2026-08-26 15:05:24,2026-08-25 16:58:40,42b6829d1ac772fe7fb0f1c86d4c13b01c7de5e86a1a7188c7560f33570be197,,,,,,,
/home/user/Desktop/IntelliTest/outdoor_2.jpg,outdoor_2.jpg,.jpg,image/jpeg,148861,2026-08-26 15:05:24,2026-08-25 16:59:03,a57d2421898630b437b9094c35039c999e59c1eb319e2cf42aeb274ba9995162,,,,,,,
/home/user/Desktop/IntelliTest/portrait-multicultural-high-school-student-260nw-2530716211 (1).webp,portrait-multicultural-high-school-student-260nw-2530716211 (1).webp,.webp,image/webp,41414,2026-08-26 15:05:24,2026-08-25 17:04:18,8ce6dd77f8595b3f363ba5b160dd3563786ee982c9d2f81a87b2d19098c0fb17,,,,,,,
/home/user/Desktop/IntelliTest/quantum_roadmap_2026.pptx,quantum_roadmap_2026.pptx,.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,43954,2026-08-26 15:05:24,2026-08-25 16:53:15,6eeb194aa614f0f9a453b92d5560d27a65d266c5de87029f688898d56a508bc5,,,,,,,
